PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_OrderNumber,6/11/2018,Order Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_OrderName,6/11/2018,Order Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Currency,6/11/2018,Currency
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SupplierName,6/11/2018,Supplier Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_CustomerContact,6/11/2018,Field Supervisor
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_CreatedBy,6/11/2018,Created By
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_CreatedOn,6/11/2018,Created On
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SubmittedBy,6/11/2018,Submitted By
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SubmittedOn,6/11/2018,Submitted On
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_ReceiptName,6/11/2018,Receipt Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SaveAsDraft,6/13/2018,Save
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Submit,6/13/2018,Submit
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_PrintPreview,6/11/2018,Print Preview
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SubmittedSuccessfully,7/7/2018,Service Confirmation Submmited Successfully
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_DeleteServiceConfirmation,7/7/2018,Are you sure you want to delete this Service Confirmation?
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_DeleteServiceConfirmationMessage,7/7/2018,Service Confirmation Deleted Successfully

0.GEP.Cumulus.P2P.Resources.en-US,CMN_Draft,7/7/2018,Draft
0.GEP.Cumulus.P2P.Resources.en-US,CMN_ApprovalPending,7/7/2018,Approval Pending
0.GEP.Cumulus.P2P.Resources.en-US,CMN_PartnerAcknowledged,08/13/2019,Partner Acknowledged
0.GEP.Cumulus.P2P.Resources.en-US,CMN_SentToPartner,08/13/2019,Sent To Partner
0.GEP.Cumulus.P2P.Resources.en-US,CMN_SentToBuyer,08/13/2019,Sent To Buyer
0.GEP.Cumulus.P2P.Resources.en-US,CMN_Exception,08/13/2019,Exception
0.GEP.Cumulus.P2P.Resources.en-US,CMN_Matched,08/13/2019,Matched
0.GEP.Cumulus.P2P.Resources.en-US,CMN_MatchedWithTolerance,08/13/2019,Matched With Tolerance
0.GEP.Cumulus.P2P.Resources.en-US,CMN_ReadyForPayment,08/13/2019,Ready For Payment
0.GEP.Cumulus.P2P.Resources.en-US,CMN_SentForPayment,08/13/2019,Sent For Payment
0.GEP.Cumulus.P2P.Resources.en-US,CMN_InvoicePaid,08/13/2019,Invoice Paid
0.GEP.Cumulus.P2P.Resources.en-US,CMN_Cancelled,08/13/2019,Cancelled
0.GEP.Cumulus.P2P.Resources.en-US,CMN_SentForProcessing,08/13/2019,Sent For Processing
0.GEP.Cumulus.P2P.Resources.en-US,CMN_InvoicePaymentCancelled,08/13/2019,Invoice Payment Cancelled
0.GEP.Cumulus.P2P.Resources.en-US,CMN_ErrorStatus,08/13/2019,Error
0.GEP.Cumulus.P2P.Resources.en-US,CMN_SendForProcessingFailed,08/13/2019,Send For Processing Failed
0.GEP.Cumulus.P2P.Resources.en-US,CMN_InternallyCancelled,08/13/2019,Internally Cancelled
0.GEP.Cumulus.P2P.Resources.en-US,CMN_Reprocessing,08/13/2019,Reprocessing
0.GEP.Cumulus.P2P.Resources.en-US,CMN_None,08/13/2019,None

0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_No,7/7/2018,NO
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Yes,7/7/2018,YES
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Ok,7/7/2018,OK
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_InvoiceRematchError,7/7/2018,Invoice Rematch Error
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Inv_InvoiceRematchedSucessfully,7/7/2018,Invoice Rematched Sucessfully
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Invoice_IRisinprogressforinvoice,7/7/2018,An IR is already in progress for this invoice
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_UnableToCreateIR,7/7/2018,Unable to cretae IR
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Inv_ErrorOccuredWhileCancelInvoice,7/7/2018,Error occured while Cancelling Invoice
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Inv_InvoiceCancellationInProgress,7/7/2018,Cancellation in progress. Please review the document after some time.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Inv_InvoiceCancelledSuccessfully,7/7/2018,The invoice is cancelled
0.GEP.Cumulus.Reports.Web.Resources.en-US,COMMENT_DELETE,7/9/2018,The comment will be deleted permanently.Do you want to continue?
0.GEP.Cumulus.Reports.Web.Resources.en-US,ATTACHMENT_DELETE,7/9/2018,The attachments will be deleted permanently. Do you want to continue?
0.GEP.Cumulus.Reports.Web.Resources.en-US,COMMON_MsgYES,7/9/2018,YES
0.GEP.Cumulus.Reports.Web.Resources.en-US,COMMON_MsgNO,7/9/2018,NO
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SavedSuccessfully,7/9/2018,Service Confirmation Saved Successfully
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Approve,7/11/2018,Approve
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Reject,7/11/2018,Reject
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_ApprovedSuccessfully,7/11/2018,Service Confirmation Approved Successfully
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_RejectedSuccessfully,7/11/2018,Service Confirmation Rejected Successfully
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_OrderLineNumber,7/23/2018,Order Line Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Description,7/23/2018,Description
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_LineType,7/23/2018,Line Type
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_ContractNumber,7/23/2018,Contract Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Quantity,7/23/2018,Quantity
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Effort,7/23/2018,Effort
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_LineValue,7/23/2018,Line Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Price,7/23/2018,Price
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_UOM,7/23/2018,UOM
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_StartDate,7/23/2018,Start Date
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_EndDate,7/23/2018,End Date
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Task_Description,7/23/2018,Task Description
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Type,7/23/2018,Type
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Category,7/23/2018,Category
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Cancel,7/23/2018,Discard
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Add,7/23/2018,Add Selected Subline(s)
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Plant,7/27/2018,Plant
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Division,7/27/2018,Division
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Business_Unit,7/27/2018,Business Unit
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Purchasing_Org,7/27/2018,Purchasing Org
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Company_code,7/27/2018,Company Code
0.GEP.Cumulus.P2P.Resources.en-US,Description,7/23/2018,Description
0.GEP.Cumulus.P2P.Resources.en-US,LineType,7/23/2018,Line Type
0.GEP.Cumulus.P2P.Resources.en-US,ContractNumber,7/23/2018,Contract Number
0.GEP.Cumulus.P2P.Resources.en-US,Quantity,7/23/2018,Quantity
0.GEP.Cumulus.P2P.Resources.en-US,Effort,7/23/2018,Effort
0.GEP.Cumulus.P2P.Resources.en-US,LineValue,7/23/2018,Line Value
0.GEP.Cumulus.P2P.Resources.en-US,Price,7/23/2018,Price
0.GEP.Cumulus.P2P.Resources.en-US,UOM,7/23/2018,UOM
0.GEP.Cumulus.P2P.Resources.en-US,StartDate,7/23/2018,Start Date
0.GEP.Cumulus.P2P.Resources.en-US,EndDate,7/23/2018,Completion Date
0.GEP.Cumulus.P2P.Resources.en-US,Description,7/23/2018,Description
0.GEP.Cumulus.P2P.Resources.en-US,Type,7/23/2018,Type
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Branch_Plant,7/31/2018,Branch Plant
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SaveSCFailure,8/3/2018,Error While Saving Service Confirmation
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SubmitSCFailure,8/3/2018,Error While Submitting Service Confirmation
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_ServiceConfirmationName,8/3/2018,Service Confirmation Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_CannotDeleteLastItem,8/3/2018,Cannot Delete The Last Line Item
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_PrintServiceConfirmation,7/08/2018,Print Service Confirmation
0.GEP.Cumulus.P2P.Resources.en-US,checked,8/3/2018,
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_INPROCESS,8/20/2018,Upload in progress..
.GEP.Cumulus.P2P.Web.Resources.en-US,ATTACHMENT_UPLOAD,8/20/2018,UPLOAD DOCUMENTS
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_INVALIDSIZE,8/20/2018,The uploaded file exceeds the file size (max #MaxSize).
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_MAXFILENO,8/20/2018,Maximum #MaxFileNo files can be uploaded at a time.
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_FAILED,8/20/2018,File failed to upload.
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_INVALIDFORMAT,8/20/2018,The uploaded file is not in expected format.
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_UPLOAD_RULE_LINE1,8/20/2018,Supported file formats:
0.GEP.Cumulus.P2P.Resources.en-US,ATTACHMENT_UPLOAD_RULE_LINE2,8/20/2018,Limited to file(s) of #MaxSize each.
0.GEP.Cumulus.P2P.Resources.en-US,CMN_Approved,7/7/2018,Approved
0.GEP.Cumulus.P2P.Resources.en-US,Contracted_lines,7/7/2018,Contracted Lines
0.GEP.Cumulus.P2P.Resources.en-US,TaskNo,8/17/2018, Subline Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_DeleteChildLines,8/20/2018,Are you sure you want to delete the selected line(s)?
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_DeleteParentLines,8/20/2018,Are you sure you want to delete the selected line(s)?
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_LineDetails,8/3/2018,Line Details
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Lines,8/3/2018,Lines
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Accounting,8/3/2018,Accounting
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Line,8/3/2018,Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_UnitPrice,8/3/2018,Unit Price
